,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango,closest_metro,dist_closest_metro,closest_super,closest_super_dist
1593,1673,Pudahuel,3.0,2.0,3.0,No,120.0,4200.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/pudahuel/casa/san-pablo/6572564,35.0,471.9,medio,PUDAHUEL,3.889220335756157,La Travesía,2.128155717597216
1594,1674,La Florida,3.0,1.0,2.443019943019943,No,170.0,4900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/las-carmelaswalker-martinez/6025585,29.0,541.5,alto,TRINIDAD,4.428975022875378,Unimarc,1.216796660645036
1595,1675,Puente Alto,3.0,3.0,2.0,No,164.0,4410.84,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/av-troncal-san-francisco/6803335,27.0,369.1,medio,HOSPITAL SOTERO DEL RIO,1.0125328918939602,Jumbo Concha y Toro ,1.551355333615127
1596,1676,Las Condes,3.0,3.0,2.0,No,368.0,12500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/doctora-eloisa-diazmanquehue/6798234,34.0,465.6,medio,LOS DOMINICOS,3.176737799882761,Jumbo La Reina ,2.202075987816931
1597,1677,Ñuñoa,5.0,4.0,2.443019943019943,No,400.0,16000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/casa/rodolfo-lenzsimon-bolivar/6579887,40.0,589.1,alto,CHILE-ESPAÑA,0.3176693256994786,Lider,0.1432822431729541
1598,1678,Maipú,3.0,3.0,1.0,No,235.0,3623.19,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/maipu-region-metropolitana/5221927,15.0,370.9,medio,PLAZA DE MAIPU,0.1668376420240113,Lider,1.14396786841417
1599,1679,Recoleta,7.0,3.0,1.0,No,212.0,11972.27,https://chilepropiedades.cl/ver-publicacion/venta-usada/recoleta/casa/av-buenos-aires-amav-dominica-am/6014692,56.0,962.8,crítico,EINSTEIN,0.9766396574873636,Lider,1.0726976868800553
1600,1680,Las Condes,4.0,3.0,2.0,No,300.0,17500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/las-condes-charles-hamilton/6086354,58.0,465.6,medio,LOS DOMINICOS,5.3299972432594425,Lider,1.5839644624274063
1601,1681,Peñalolén,5.0,5.0,2.0,No,640.0,15500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/penalolen/casa/penalolen-region-metropolitana/5149017,24.0,415.5,medio,FERNANDO CASTILLO VELASCO,3.0963470616269064,Consistorial,0.3565253484698679
1602,1682,Maipú,5.0,3.0,3.0,No,270.0,8424.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/alcalde-luis-infante-larrain-jorge-andres-guerra/6599567,31.0,370.9,medio,PLAZA DE MAIPU,0.1668376420240113,Lider,1.14396786841417
1603,1683,La Reina,4.0,4.0,3.0,No,300.0,15900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/fernando-castillo-velasco-con-pepe-villa/6220666,53.0,565.4,alto,FERNANDO CASTILLO VELASCO,2.1629950938800966,Lider,0.9437413907081876
1604,1684,Puente Alto,4.0,2.0,2.0,No,80.0,2835.54,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/bahia-smug/6803309,35.0,369.1,medio,PLAZA DE PUENTE ALTO,0.1069172956548045,Plazuela Independencia,0.8218237932894789
