,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango
45,48,Peñalolén,5.0,3.0,1.0,,241.0,7718.97,https://chilepropiedades.cl/ver-publicacion/venta-usada/penalolen/casa/el-olivillo-5956/5311878,32.0,415.5,medio
46,49,Santiago,4.0,2.0,1.0,,109.0,3245.12,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/la-foresta-puente-alto/6797686,30.0,1183.1,crítico
47,50,Huechuraba,4.0,4.0,2.0,No,225.0,8200.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/avenida-el-sauce-1244-portada-de-huechuraba-iii-huechuraba/6728941,36.0,536.5,alto
48,51,Maipú,3.0,1.0,1.0,No,253.0,4725.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/maipu-region-metropolitana/5900349,19.0,370.9,medio
49,52,Las Condes,4.0,4.0,5.0,No,580.0,18000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/roncesvalles/6400375,31.0,465.6,medio
50,53,Cerro Navia,4.0,1.0,2.443019943019943,,74.4,1600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/serrano-1692/6689153,22.0,423.0,medio
51,54,Quinta Normal,3.0,2.0,2.443019943019943,No,205.0,3780.72,https://chilepropiedades.cl/ver-publicacion/venta-usada/quinta-normal/casa/casa-2-pisos-en-q-normal/6618228,18.0,745.1,alto
52,55,Maipú,3.0,2.0,2.443019943019943,No,90.0,2900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/maipu-region-metropolitana/6604189,32.0,370.9,medio
53,56,Buin,3.0,2.0,1.0,,155.0,3600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/buin/casa/tulio-parra-perez/6452882,23.0,435.1,medio
54,57,Puente Alto,3.0,1.0,1.0,No,65.0,1827.35,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/las-castanuelas-3535/6512394,28.0,369.1,medio
55,58,La Reina,4.0,3.0,2.443019943019943,No,2005.0,32390.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/julia-bernsteinmaria-monvel/6729279,16.0,565.4,alto
56,59,Pudahuel,5.0,4.0,2.0,No,100.0,3465.66,https://chilepropiedades.cl/ver-publicacion/venta-usada/pudahuel/casa/pudahuel-region-metropolitana/6456667,35.0,471.9,medio
57,60,Las Condes,3.0,1.0,2.443019943019943,No,160.0,9136.74,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/bocacciolas-condes/6623708,57.0,465.6,medio
58,61,Las Condes,5.0,4.0,2.0,,480.0,23000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/cam-de-las-nieves-1466/6838017,48.0,465.6,medio
59,62,Puente Alto,3.0,2.0,2.0,Sí,78.0,4662.89,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/las-perdices-puente-alto/6614821,60.0,369.1,medio
60,63,Quilicura,2.0,1.0,1.0,No,74.0,2236.93,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/los-apeninos-con-tierra-del-fuego/5902147,30.0,409.6,medio
61,64,Lampa,3.0,3.0,2.0,,240.0,6850.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/avenida-el-rodeo-1393/5842377,29.0,394.9,medio
62,65,Santiago,3.0,3.0,1.0,,153.0,0.18,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/ciudad-del-sol/6797635,0.0,1183.1,crítico
63,66,Maipú,2.0,1.0,1.0,No,150.0,2520.48,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/yc-56743-los-adobesyc-56743-de-lo-infante/6509667,17.0,370.9,medio
64,67,San Bernardo,2.0,1.0,1.0,,1125.9585436648158,1984.88,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-bernardo/casa/san-bernardo/6819664,2.0,598.2,alto
65,68,La Florida,3.0,1.0,1.0,No,146.0,4347.83,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/los-clarineslas-hortencias/5559749,30.0,541.5,alto
66,69,Puente Alto,4.0,3.0,3.0,,208.0,4568.37,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/nemesio-vicuna-2504/4084549,22.0,369.1,medio
67,70,Las Condes,6.0,3.0,3.0,No,288.0,9485.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/mall-los-dominicos/6351981,33.0,465.6,medio
68,71,Quilicura,2.0,1.0,1.0,No,88.0,2268.43,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/quilicura-region-metropolitana/6710587,26.0,409.6,medio
69,72,Pirque,6.0,4.0,6.0,,6942.0,14500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/pirque/casa/av-virginia-subercaseaux-3600/5634813,2.0,212.0,bajo
70,73,San Bernardo,3.0,2.0,1.0,No,82.0,2362.95,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-bernardo/casa/villa-la-campina-de-nos-san-bernardo/6719259,29.0,598.2,alto
71,74,Pudahuel,3.0,1.0,2.443019943019943,No,98.0,1575.3,https://chilepropiedades.cl/ver-publicacion/venta-usada/pudahuel/casa/casa-2-pisos-en-pudahuel/6618230,16.0,471.9,medio
72,75,Puente Alto,3.0,1.0,2.0,No,75.0,3334.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/profeta-exequiel-puente-alto/6600519,44.0,369.1,medio
73,76,Ñuñoa,4.0,3.0,1.0,No,790.0,16993.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/casa/plaza-nunoa/5714295,22.0,589.1,alto
74,77,Puente Alto,4.0,1.0,2.0,No,150.0,2646.5,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/puente-alto-region-metropolitana/5907606,18.0,369.1,medio
75,78,San Bernardo,3.0,2.0,2.0,No,178.0,4810.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-bernardo/casa/a-10-minutos-del-mall-plaza-sur/6715597,27.0,598.2,alto
76,79,La Reina,4.0,4.0,3.0,No,396.0,12890.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/amplia-casa-en-venta-gran-potencial/6719449,33.0,565.4,alto
77,80,Santiago,2.0,1.0,2.443019943019943,No,37.0,2800.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/santiago-region-metropolitana/5825990,76.0,1183.1,crítico
78,81,La Florida,4.0,2.0,2.443019943019943,No,123.0,3780.72,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/av-la-floridasan-jose-de-la-estrellacementerio-parque-el-prado/4911290,31.0,541.5,alto
79,82,Ñuñoa,3.0,2.0,2.0,,132.0,7876.5,https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/casa/mira-esto-rosita-renard/5811333,60.0,589.1,alto
