,Codigo_Aviso,Comuna,Link,Tipo_Vivienda,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Superficie_Construida_M2,anoConstruccion,Valor_UF,Valor_CLP,Dirección,tipoPublicacion,Quién_Vende,Corredor,fechaPublicacion
28,5933236,La Cisterna,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/casa-con-local-140-m2-y-2-estacionamientos/5933236,Casa,3.0,1.0,2.0,,140.0,89.0,,4095.78,130000000.0,"La Cisterna, Casa con Local 140 M2 y 2 estacionamientos",Venta Usada,                      Soledad Arze                  ,Sucasa Gestión Inmobiliaria,04/04/2022
29,6426325,Quilicura,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/pedro-riverosaranjuez/6426325,Casa,5.0,4.0,,No,154.0,175.0,,7000.0,222180000.0,"Quilicura, Pedro riveros/aranjuez",Venta Usada,                      Mauricio Pino Propiedades                  ,Mauricio Pino Propiedades,02/04/2022
30,6707771,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/madrid-1414/6707771,Casa,2.0,2.0,1.0,No,170.0,230.0,,7200.0,228528000.0,"Santiago, Madrid 1414",Venta Usada,                      Claudia Gutierrez  Del Pino Propiedades                  ,Mi Llave,01/04/2022
31,6620249,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/omar-herrera-gutierrez-1642/6620249,Casa,2.0,1.0,2.0,,,,,2362.95,75000000.0,"Santiago, Omar Herrera Gutiérrez 1642",Venta Usada,                      Edith Jimenez                  ,Jimenez Propiedades,03/03/2022
32,6105617,Ñuñoa,https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/casa/montenegroechenique/6105617,Casa,3.0,2.0,2.0,No,151.0,119.0,,11000.0,349140000.0,"Ñuñoa, Montenegro/Echeñique",Venta Usada,                      Cata Brochet Propiedades                  ,Cata Brochet Propiedades,01/04/2022
33,5813458,Vitacura,https://chilepropiedades.cl/ver-publicacion/venta-usada/vitacura/casa/la-llaveria-1763/5813458,Casa,4.0,4.0,3.0,No,300.0,120.0,,17000.0,539580000.0,"Vitacura, La llaveria 1763",Venta Usada,                      Valentina Ortigosa                  ,Unne,02/04/2022
34,6501607,Quilicura,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/villa-los-compositores/6501607,Casa,4.0,1.0,1.0,No,74.0,46.0,,2457.47,78000000.0,"Quilicura, Villa Los Compositores",Venta Usada,                      Ismael Orrego                  ,Unne,31/03/2022
35,3507346,Lo Barnechea,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/camino-la-loica/3507346,Casa,4.0,7.0,4.0,No,1000.0,460.0,,38000.0,1206120000.0,"Lo Barnechea, Camino la loica",Venta Usada,                      Vivaqui Propiedades                  ,Vivaqui Propiedades,03/04/2022
36,6328970,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/cueto-con-catedral/6328970,Casa,4.0,3.0,2.0,,260.0,214.0,,10800.0,342792000.0,"Santiago, Cueto con Catedral",Venta Usada,                      Soledad Arze                  ,Sucasa Gestión Inmobiliaria,04/04/2022
37,5899618,La Florida,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/lo-canaslas-araucarias/5899618,Casa,4.0,6.0,,No,1780.0,298.0,,18700.0,593538000.0,"La Florida, Lo Cañas/Las Araucarias",Venta Usada,                      Aleida Lama Propiedades                  ,Aleida Lama Propiedades,02/04/2022
38,6440629,Peñalolén,https://chilepropiedades.cl/ver-publicacion/venta-usada/penalolen/casa/casa-grande-sector-el-valle-penalolen/6440629,Casa,4.0,4.0,2.0,No,432.0,145.0,,11750.0,372945000.0,"Peñalolén, Casa grande sector el valle peñalolen",Venta Usada,                      Liznar Prop.                  ,Unne,01/04/2022
39,3988745,La Florida,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/rojas-magallanes-araucania/3988745,Casa,4.0,4.0,2.0,,258.88,177.0,,9900.0,314226000.0,"La Florida, Rojas Magallanes / Araucania",Venta Usada,                      Verónica Contreras Arévalo - Bernardita Contreras Arévalo                  ,Punto Exacto Corredora de Propiedades Ltda.,03/03/2022
40,6797712,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/lomas-de-eyzaguirre/6797712,Casa,3.0,3.0,1.0,,,130.0,,4095.78,130000000.0,"Santiago, Lomas de Eyzaguirre",Venta Usada,                      Patricia Navarro                  ,Enfoque Propiedades,01/04/2022
41,6426517,Til til,https://chilepropiedades.cl/ver-publicacion/venta-usada/til-til/casa/dario-ovallemanuel-rodriguez/6426517,Casa,8.0,3.0,,No,1100.0,300.0,,4883.43,155000000.0,"Til til, Dario Ovalle/Manuel Rodriguez",Venta Usada,                      Propiedades Centro Santiago SPA                  ,Propiedades Centro Santiago SPA,02/04/2022
42,5260810,Colina,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/chicureo-poniente-colegio-pumahue/5260810,Casa,3.0,3.0,3.0,No,350.0,139.0,,11790.0,374214600.0,"Colina, Chicureo Poniente, Colegio Pumahue",Venta Usada,                      Partners & Advisers Propiedades                  ,Partners & Advisers Propiedades,31/03/2022
43,5803436,Melipilla,https://chilepropiedades.cl/ver-publicacion/venta-usada/melipilla/casa/casa-en-melipilla/5803436,Casa,4.0,1.0,,No,740.0,130.0,,6300.0,199962000.0,"Melipilla, Casa en Melipilla",Venta Usada,                      Inmobiliare Prop.                  ,Unne,03/04/2022
44,6425368,La Florida,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/la-florida-region-metropolitana/6425368,Casa,2.0,1.0,1.0,No,85.0,65.0,,2678.01,85000000.0,"La Florida, La Florida, Región Metropolitana",Venta Usada,                      Jorge Rodriguez L.M.                  ,Difusion Propiedades,04/04/2022
45,6459064,Lo Barnechea,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/cerro-punta-de-damas/6459064,Casa,4.0,4.0,,No,1600.0,420.0,2022.0,32600.0,1034724000.0,"Lo Barnechea, Cerro Punta de Damas",Venta Usada,                      Houm                  ,Houm,02/04/2022
46,6702919,Lo Barnechea,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/los-refugios-del-arrayan/6702919,Casa,5.0,,4.0,No,908.0,380.0,,24900.0,790326000.0,"Lo Barnechea, Los Refugios del Arrayán",Venta Usada,                      Claudia Gelman                  ,Sucursal Cantagallo,01/04/2022
47,5311878,Peñalolén,https://chilepropiedades.cl/ver-publicacion/venta-usada/penalolen/casa/el-olivillo-5956/5311878,Casa,5.0,3.0,1.0,,241.0,131.0,,7718.97,245000000.0,"Peñalolén, El Olivillo 5956",Venta Usada,                      Arévalo Propiedades                  ,Arévalo Propiedades,03/03/2022
48,6797686,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/la-foresta-puente-alto/6797686,Casa,4.0,2.0,1.0,,109.0,100.0,,3245.12,103000000.0,"Santiago, la foresta puente alto",Venta Usada,                      Patricia Navarro                  ,Enfoque Propiedades,01/04/2022
49,6728941,Huechuraba,https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/avenida-el-sauce-1244-portada-de-huechuraba-iii-huechuraba/6728941,Casa,4.0,4.0,2.0,No,225.0,140.0,,8200.0,260268000.0,"Huechuraba, Avenida El Sauce 1244, Portada de Huechuraba III, Huechuraba",Venta Usada,                      Home Gestión  Inmobiliaria                  ,Mi Llave,02/04/2022
